INCI name,CAS,EC no,Annex ref
DISODIUM TETRAMETHYLHEXADECENYLCYSTEINE FORMYLPROLINATE,"2040469-40-5, 2422121-34-2",,
(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT,,,
(ARCTIUM LAPPA/RAPHANUS SATIVUS/MALVA VERTICILLATA) SEED OIL,,,
(LIQUIDAMBAR STYRACIFLUA/TRIBULUS TERRESTRIS) FRUIT/PAEONIA LACTIFLORA ROOT EXTRACT,,,
"1-Propanol, 3-[[4-[bis(2-hydroxyethyl)amino]-2-nitrophenyl]amino] (see note 17)",104226-19-9,410-910-3,III/200
"4,5-Dibromosalicylanilide; Benzamide, 4,5-dibromo-2-hydroxy-N-phenyl-",24556-64-7,246-310-1,II/351
4-[(2-Nitrophenyl)amino]phenol,54381-08-7,259-132-4,III/256
ACRYLATES/VA/VINYL NEODECANOATE COPOLYMER,99728-55-9,,
ASTROCARYUM VULGARE SEED BUTTER,2187449-53-0,,
BARLEY SH-POLYPEPTIDE-17,,,
CITRULLUS LANATUS SEED POWDER,90244-99-8,290-802-9,
DAUCUS CAROTA SATIVA LEAF EXTRACT,,,
"Difenacoum (ISO); 3-(3- biphenyl-4-yl-1,2,3,4- tetrahydro-1-naphthyl)- 4-hydroxycoumarin",56073-07-5,259-978-4,II/1628
GOSSYPIUM HIRSUTUM SEED EXTRACT,8001-29-4,232-280-7,
HYDROLYZED (CITRUS AURANTIUM AMARA /FORSYTHIA VIRIDISSIMA/GARDENIA FLORIDA) FRUIT/MENTHA ARVENSIS LEAF/(ANGELICA ACUTILOBA/COPTIS JAPONICA/GLYCYRRHIZA GLABRA /PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS ROOT) EXTRACT,,,
HYDROLYZED BEE LARVA EXTRACT,,,
HYDROLYZED FORSYTHIA VIRIDISSIMA FRUIT/(CIMICIFUGA DAHURICA/GLYCYRRHIZA GLABRA /PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/PUERARIA LOBATA) ROOT EXTRACT,,,
ICTASOL,1340-06-3,215-671-7,
ISOOCTANOYL TETRAPEPTIDE-25,,,
LACTOBACILLUS/GERMINATED SOYBEAN FERMENT FILTRATE,,,
METHOXYETHANOL,109-86-4,203-713-7,II/665 CMR1b (Reprotoxic 1B)
MYRISTOYL GLYCINE/HISTIDINE/LYSINE POLYPEPTIDE,,,
NONAPEPTIDE-11,,,
PENTACLETHRA MACROPHYLLA SEED OIL,,,
Sodium 4-[(2-hydroxy-1-naphthyl)azo]benzene sulfonate,633-96-5,211-199-0,III/318
tert-Butyl hydroperoxide,75-91-2,200-915-7,II/1641
TRISODIUM TETRAMETHYLHEXADECENYLCYSTEINE BIS-CARBOXYMETHYL FORMYLAMINE,2040473-30-9,,
Zinc oxide (nano),1314-13-2,215-222-5,VI/30a
"''Amyl nitrite'', mixed isomers; Isopentyl alcohol, nitrite; Nitrous acid, 3-methylbutyl ester",110-46-3,203-770-8,II/247
( -)-Metazocine,25144-79-0,,II/306
"(+/-)-2-(2,4-Dichlorophenyl)-3-(1H-1,2,4-triazol-1-yl)propyl-1,1,2,2-tetrafluoroethylether (Tetraconazole - ISO)",112281-77-3,407-760-6,II/1001
(+/-)-Tetrahydrofurfuryl -(R)-2-[4-(6-chloroquinoxalin-2-yloxy)phenyloxy]propionate (Quizalofop-P-tefuryl - ISO),119738-06-6,414-200-4,II/755
"(1,3,4,5,6,7-Hexahydro-1,3-dioxo-2H-isoindol-2-yl)methyl (1R-trans)-2,2-dimethyl-3-(2- methylprop-1-enyl)cyclopropanecarboxylate",1166-46-7,214-619-0,II/1619
(1-Hydroxyethylidene)diphosphonic acid and its salts,2809-21-4,220-552-8,III/53
(1-Methylhexyl)ammonium sulphate,3595-14-0,222-742-6,II/27
"(1R,4S,5R,8S)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene (Isodrin-ISO)",465-73-6,207-366-2,II/198
"(1R,4S,5R,8S)-1,2,3,4,10,10-Hexachloro-6,7-epoxy-1,4,4a,5,6,7,8,8a-octahydro-1,4:5,8-dimethanonaphthalene (endrin - ISO)",72-20-8,200-775-7,II/196
(2-Acetoxyethyl)trimethylammonium hydroxide (Acetylcholine) and its salts,51-84-3,200-128-9,II/2
(2-Chloroethyl)(3-hydroxypropyl)ammonium chloride,40722-80-3,429-740-6,II/1515
(2-Isopropylpent-4-enoyl)urea (apronalide),528-92-7,208-443-3,II/216
(20S)-PROTOPANAXADIOL,30636-90-9,,
"(29H,31H-Phthalocyaninato(2-)-N29,N30,N31,N32)copper",147-14-8,205-685-1,IV/105
"(29H,31H-Phthalocyaninato(2-)-N29,N30,N31,N32)copper (Pigment Blue 15; CI 74160) when used as a substance in hair dye products",147-14-8,205-685-1,II/1367
"(2RS,3RS)-3-(2-Chlorophenyl)-2-(4-fluorophenyl)-[1H-1,2,4-triazol-1-yl)methyl]oxirane; Epoxiconazole",133855-98-8,406-850-2,II/663
(3-Chloro-2-hydroxypropyl) trimethylammonium chloride,3327-22-8,222-048-3,II/1510
(3-Chlorophenyl)-(4-methoxy-3-nitrophenyl)methanone,66938-41-8,423-290-4,II/1085
(3R)-beta-4-Caroten-3-ol,3763-55-1,,IV/112
"(4-(4-Aminophenyl)(4-iminocyclohexa-2,5-dienylidene)methyl)-2-methylaniline hydrochloride",632-99-5,211-189-6,IV/66
"(4-amino-N-pyrimidin-2-ylbenzenesulphonamidato-NN,O1)silver",22199-08-2,244-834-5,II/307
(4-Ethoxyphenyl)(3-(4-fluoro-3-phenoxyphenyl)propyl)dimethylsilane,105024-66-6,405-020-7,II/1409
(4-Hydrazinophenyl)-N-methylmethanesulfonamide hydrochloride,81880-96-8,406-090-1,II/1106
(4-Phenylbutyl)phosphinic acid,86552-32-1,420-450-5,II/1413
"(6-(4-Hydroxy-3-(2-methoxyphenylazo)-2-sulfonato-7-naphthylamino)-1,3,5-triazine-2,4-diyl)bis[(amino-1-methylethyl)ammonium] formate",108225-03-2,402-060-7,II/757
(6R-trans)-1-((7-Ammonio-2-carboxylato-8-oxo-5-thia-1-azabicyclo-[4.2.0]oct-2-en-3-yl)methyl)pyridinium iodide,100988-63-4,423-260-0,II/1524
"(8-[(4-Amino-2-nitrophenyl)azo]-7-hydroxy-2-naphthyl)trimethylammonium and its salts, (except Basic Red 118 as impurity in Basic brown 17), when used as a substance in hair dye products",71134-97-9,275-216-3,II/1291
(a) Alkali sulphides (b) Alkaline earth sulphides,,,III/23
(ADONIS AMURENSIS/AKEBIA QUINATA/ALBIZIA JULIBRISSIN/ALTHAEA ROSEA/ANGELICA ACUTILOBA/ANGELICA ANOMALA/AQUILEGIA BUERGERIANA/ARTEMISIA PRINCEPS/ASTER CILIOSUS/ASTER SCABER/BRASSICA CAMPESTRIS/BROUSSONETIA KAZINOKI/CALLISTEPHUS CHINENSIS/CAMELLIA JAPONICA/CAMELLIA SINENSIS/CAMPSIS GRANDIFLORA/CARAGANA SINICA/CARTHAMUSTINCTORIUS/CASSIA OBTUSIFOLIA/CELOSIA CRISTATA/CERCIS CHINENSIS/CHAENOMELES SINENSIS/CHRYSANTHEMUM INDICUM/CHRYSANTHEMUM ZAWADSKII/CLEMATIS TERNIFLORA/COMMELINA COMMUNIS/CORNUS KOUSA/CORNUS OFFICINALIS/CORYDALIS INCISA/CORYDALIS TURTSCHANINOVII/CUCURBITA MOSCHATE/DENDROBIUM NOBILE/DIANTHUS CHINENSIS/ELSHOLTZIA SPLENDENS/EUPATORIUM LINDLEYANUM/FORSYTHIA KOREANA/FRITILLARIA USSURIENSIS/GARDENIA JASMINOIDES/GINKGO BILOBA/HELIANTHUS ANNUUS/HELIANTHUS TUBEROSUS/HEMEROCALLIS FULVA/HIBISCUS MUTABILIS/HIBISCUS SYRIACUS/HOSTA PLANTAGINAE/HYDRANGEA MACROPHYLLA/IMPATIENS BALSAMINA/IPOMOEA HEDERACEA/IRIS PALLASII/IRIS PSEUDACORUS/KERRIA JAPONICA/LAGERSTROEMIA INDICA/LEONURUS SIBIRICUS/LESPEDEZA BICOLOR/LILIUM LANCIFOLIUM/LINDERA OBTUSILOBA/LIRIOPES MUSCARI/LONICERA JAPONICA/LYCORIS RADIATA/MAGNOLIA KOBUS/MAGNOLIA LILIFLORA/MALUS SIEBOLDII/NARCISSUS TAZETTA/NELUMBO NUCIFERA/OENOTHERA BIENNIS/PAEONIA LACTIFLORA/PAEONIA SUFFRUTICOSA/PAPAVER RHOEAS/PATRINIA SCABIOSIFOLIA/PAULOWNIA COREANA/PERSICARIA THUNBERGII/PETASITES JAPONICUS/PLATYCODON GRANDIFLORUS/POLYGONUM ODORATUM/PONICIRUS TRIFOLIATA/PRUNUS ARMENIACA/PRUNUS MUME/PRUNUS PERSICA/PRUNUS SERRULATA/PRUNUS TOMENTOSA/PUERARIA LOBATA/PUNICA GRANATUM/RHODODENDRON MUCRONULATUM/ROBINIA PSEUDACACIA/ROSA MULTIFLORA/ROSA RUGOSA/SASA BOREALIS/SOPHORA JAPONICA/SPIRAEA PRUNIFOLIA/STYRAX JAPONICA/SYRINGA VULGARIS/TARAXACUM PLATYCARPUM/TULIPA EDULIS/VIOLA MANDSCHURICA/WEIGELA SUBSESSILIS/WISTERIA SINENSIS/ZANTHOXYLUM SCHINIFOLIUM/ZEA MAYS/ZINGIBER MIOGA/ZINNIA ELEGANS) FLOWER EXTRACT,,,
(AGARICUS BLAZEI FERMENT + GANODERMA LUCIDUM FERMENT + GANODERMA MULTIPILEUM FERMENT) EXTRACT,,,
(ALPINIA ZERUMBET/ARTEMISIA PRINCEPS/AVERRHOA CARAMBOLA/CAMELLIA SINENSIS/ERIOBOTRYA JAPONICA/GINKGO BILOBA/MELISSA OFFICINALIS/MENTHA PIPERITA/OLEA EUROPAEA/ORIGANUM MAJORANA/PERILLA FRUTESCENS/PRUNUS PERSICA/SALVIA OFFICINALIS) LEAF EXTRACT,,,
(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/(CNIDIUM OFFICINALE/ZINGIBER OFFICINALE) RHIZOME EXTRACT,,,
(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT,,,
(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON CHINENSE BARK EXTRACT,,,
(ANGELICA GIGAS/CNIDIUM OFFICINALE/PAEONIA LACTIFLORA) ROOT EXTRACT,,,
(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER,,,
(ANGELICA KEISKEI/CHRYSANTHEMUM ZAWADSKII) LEAF/STEM/CINNAMOMUM CASSIA BARK/TRICHOSANTES KIRILOWII FRUIT/ULMUS DAVIDIANA BARK/ROOT/(PAEONIA JAPONICA/BUPLEURUM FALCATUM/POLYGALA TENUIFOLIA ROOT)/VISCUS ALBUM STEM EXTRACT,,,
(APPLE/BANANA/GRAPE/LEMON/PAPAYA/PINEAPPLE) FRUIT/CARROT ROOT/SUCROSE FERMENT FILTRATE,,,
(APPLE/CITRUS JUNOS/LENTIL/PEAR/PUMPKIN/STRAWBERRY/TOMATO FRUIT)/CORN KERNEL/(ARCTIUM LAPPA/BRASSICA OLERACEA ACEPHALA/CABBAGE/CAMELLIA SINENSIS/MORINGA OLEIFERA/RADISH/SPINACH LEAF)/(SORGHUM BICOLOR LEAF/STEM)/OAT MEAL/POTATO PULP/(CARROT/NELUMBO NUCIFERA/RADISH/WILD YAM ROOT)/(AMARANTHUS HYPOCHONDRIACUS/CASHEW/CICER ARIETINUM/COIX LACRYMA-JOBI MA-YUEN /MACADAMIA TERNIFOLIA/PHASEOLUS ANGULARIS/PISTACIA VERA/RHYNCHOSIA NULUBILIS/RICE/SESAME/SETARIA ITALICA/SOYBEAN/SWEET ALMOND/WHEAT SEED)/HORDEUM VULGARE SPROUT/CYPERUS ESCULENTUS TUBER/ARTEMISIA PRINCEPS/BROCCOLI/CHENOPODIUM QUINOA/ENTEROMORPHA COMPRESSA/HORDEUM VULGARE/IPOMOEA BATATAS/LAMINARIA JAPONICA/LENTINUS EDODES/PLEUROTUS OSTREATUS/PORPHYRA TENERA/UNDARIA PINNATIFIDA EXTRACT,,,
(ARCTIUM LAPPA/CARROT/COLOCASIA ESCULENTA/DIOSCOREA BATATAS/GARLIC/GINGER/IPOMOEA BATATAS/NELUMBO NUCIFERA/ONION/POTATO BULBS)/(CHESTNUT/CITRUS UNSHIU/EGGPLANT/FIG/GRAPE/KIWI/LYCOPERSICON ESCULENTUM/MALUS PUMILA/MUME/PEACH/PLUM/PUMPKIN/PYRUS SEROTINA/RADISH/ZIZIPHUS JUJUBA FRUIT)/(ALLIUM TUBEROSUM/ALOE BARBADENSIS/ANGELICA UTILIS/BRASSICA OLERACEA ACEPHALA/CABBAGE/CELERY/SACCHARINA JAPONICA/UNDARIA PINNATIFIDA LEAF)/(ALLIUM FISTULOSUM/ENTEROMORPHA COMPRESSA/OENANTHE JAVANICA STALK)/LENTINULA EDODES/SUCROSE FERMENT FILTRATE,,,
(ARCTIUM LAPPA/RAPHANUS SATIVUS (RADISH)/MALVA VERTICILLATA) SEED OIL,,,
