INCI name,CAS,EC no,Annex ref
ISOOCTANOYL TETRAPEPTIDE-25,,,
LACTOBACILLUS/GERMINATED SOYBEAN FERMENT FILTRATE,,,
METHOXYETHANOL,109-86-4,203-713-7,II/665 CMR1b (Reprotoxic 1B)
MYRISTOYL GLYCINE/HISTIDINE/LYSINE POLYPEPTIDE,,,
"2,4-DIMETHYLHEPTA-2,2-DIENAL",85136-08-9,285-731-5,
"2,4-DIMETHYLPYRIDINE",108-47-4,203-586-8,
"2,4-Dinitrophenol",51-28-5,200-087-7,II/151
BUTYLENE CARBONATE,4437-85-8,,
BUTYLENE GLYCOL,"107-88-0 (i), 6290-03-5 (ii)","203-529-7 (i), 228-532-0 (ii)",
BUTYLENE GLYCOL BEHENATE,,,
ETHYLHEXYLBICYCLOHEPTENE DICARBOXIMIDE,113-48-4,204-029-1,
ETHYLHEXYLGLYCERIN,70445-33-9,408-080-2,
ETHYLHEXYLGLYCERYL BEHENATE,66486-85-9,266-379-1,
ETHYLHEXYLGLYCERYL PALMITATE,,,
ETHYLHEXYLOXYGLYCERYL PALMITATE,53890-13-4,258-841-6,
MALUS DOMESTICA FRUIT CELL CULTURE EXTRACT,,,
MALUS DOMESTICA FRUIT EXTRACT,,,
MALUS DOMESTICA FRUIT WATER,89957-48-2,289-567-5,
MALUS SYLVESTRIS FLOWER EXTRACT,85251-63-4,286-475-7,
MALUS TORINGO LEAF EXTRACT,,,
