Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Proceeds,Comm/Fee
Trades,Data,Order,Stock,GBP,EUA,"2021-08-17, 03:00:09",1400,0.171,239.400,1.17
Trades,Data,Order,Stock,HKD,1398,"2021-09-12, 21:20:16",1000,4.42,4420.00,26.84034
Trades,Data,Order,Stock,HKD,1398,"2021-11-04, 21:39:03",1000,4.21,4210.00,26.82417
Trades,Data,Order,Stock,HKD,2039,"2021-09-09, 03:31:54",100,18.66,1866.00,23.643682
Trades,Data,Order,Stock,HKD,2039,"2021-09-12, 22:53:26",100,18.2,1820.0,23.64014
Trades,Data,Order,Stock,HKD,2039,"2021-10-03, 21:20:08",100,16.14,1614.00,23.624278
Trades,Data,Order,Stock,HKD,2039,"2021-10-17, 21:20:03",100,15,1500,22.6155
Trades,Data,Order,Stock,HKD,2039,"2021-10-28, 21:20:03",100,14.74,1474.00,22.613498
Trades,Data,Order,Stock,HKD,2039,"2021-11-02, 23:01:33",100,14.9,1490.0,22.61473
Trades,Data,Order,Stock,HKD,2039,"2021-11-02, 23:21:51",100,14.8,1480.0,22.61396
Trades,Data,Order,Stock,USD,ASX,"2021-09-20, 09:30:00",20,8.35,167.00,0.37425725
Trades,Data,Order,Stock,USD,ATVI,"2021-11-04, 10:09:21",4,67.795,271.180,0.35105725
Trades,Data,Order,Stock,USD,ATVI,"2021-11-16, 12:17:50",4,65.66,262.64,0.34265725
Trades,Data,Order,Stock,USD,BHP,"2021-10-06, 09:30:36",5,52.66,263.30,0.34525725
Trades,Data,Order,Stock,USD,BHP,"2021-10-05, 09:37:04",3,53.06,159.18,0.34525725
Trades,Data,Order,Stock,USD,BTU,"2021-10-20, 13:06:45",10,14.07,140.70,0.33125725
Trades,Data,Order,Stock,USD,BTU,"2021-10-21, 12:49:24",10,13.91,139.10,0.35225725
Trades,Data,Order,Stock,USD,BTU,"2021-10-21, 13:05:33",10,13.82,138.20,0.34025725
Trades,Data,Order,Stock,USD,BTU,"2021-10-26, 09:43:11",10,13.33,133.30,0.34025725
Trades,Data,Order,Stock,USD,BTU,"2021-10-29, 09:33:40",10,12.06,120.60,0.34025725
Trades,Data,Order,Stock,USD,BTU,"2021-10-14, 12:22:38",5,15.78,78.90,0.34025725
Trades,Data,Order,Stock,USD,DKNG,"2021-11-05, 09:30:03",15,42.42,636.30,0.37575725
Trades,Data,Order,Stock,USD,FTCH,"2021-12-09, 10:51:20",15,35.06,525.90,0.33525725
Trades,Data,Order,Stock,USD,GOLD,"2021-07-26, 09:30:10",5,20.61,103.05,0.34025725
Trades,Data,Order,Stock,USD,GOLD,"2021-08-06, 09:30:44",10,20.66,206.60,0.34025725
