Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,Proceeds,Comm/Fee,Basis,Realized P/L,Code
Trades,Data,Order,Stocks,USD,BTU,"2021-05-18, 14:53:23",15,6.77,-101.55,-0.36225725,101.9122573,0,O
Trades,Data,Order,Stocks,USD,BTU,"2021-05-18, 15:39:49",15,6.67,-100.05,-0.33525725,100.3852573,0,O
Trades,Data,Order,Stocks,USD,BTU,"2021-06-02, 09:30:01",-10,7.55,75.5,-0.3638323,-67.941505,7.194663,C
Trades,Data,Order,Stocks,USD,BTU,"2021-06-03, 11:44:04",-10,7.875,78.75,-0.353848875,-67.432504,10.963647,C
Trades,Data,Order,Stocks,USD,BTU,"2022-06-03, 11:44:41",-10,7.862,78.62,-0.353848212,-66.923505,11.342647,C
Trades,Data,Order,Stocks,USD,BTU,"2021-06-28, 13:24:13",50,7.07,-353.5,-0.49025725,353.9902573,0,O
Trades,Data,Order,Stocks,USD,BTU,"2021-07-07, 10:36:02",-25,8.79,219.75,-0.329352975,-176.995128,42.425519,C
Trades,Data,Order,Stocks,USD,BTU,"2021-07-09, 09:44:13",-25,10.43,260.75,-0.329562075,-176.995128,83.42531,C
Trades,Data,Order,Stocks,USD,BTU,"2021-09-29, 10:16:44",10,12.71,-127.1,-0.34025725,127.4402573,0,O;P
Trades,Data,Order,Stocks,USD,BTU,"2021-10-04, 09:44:11",-5,17.36,86.8,-0.35229493,-63.795184,22.652521,C
Trades,Data,Order,Stocks,USD,BTU,"2021-10-14, 12:22:38",10,15.78,-157.8,-0.34025725,158.1402573,0,O
Trades,Data,Order,Stocks,USD,BTU,"2021-10-18, 09:47:40",-5,17.66,88.3,-0.34630258,-63.645073,24.308624,C
Trades,Data,Order,Stocks,USD,BTU,"2021-10-18, 15:49:33",-5,19.66,98.3,-0.34635358,-79.070128,18.883518,C
Trades,Data,Order,Stocks,USD,BTU,"2021-10-20, 13:06:45",10,14.07,-140.7,-0.33125725,141.0312573,0,O
Trades,Data,Order,Stocks,USD,BTU,"2021-10-21, 12:49:24",10,13.91,-139.1,-0.35225725,139.4522573,0,O
Trades,Data,Order,Stocks,USD,BTU,"2021-10-21, 13:05:33",10,13.82,-138.2,-0.34025725,138.5402573,0,O
Trades,Data,Order,Stocks,USD,BTU,"2021-10-26, 09:43:11",10,13.33,-133.3,-0.34025725,133.6402573,0,O
Trades,Data,Order,Stocks,USD,BTU,"2021-10-29, 09:33:40",10,12.06,-120.6,-0.34025725,120.9402573,0,O
Trades,SubTotal,,Stocks,USD,BTU,,55,,-525.13,-6.347968027,752.6744175,221.196449,
